,0
0,Arizona
1,Oregon
2,West Virginia
3,Maine
4,North Dakota
5,South Dakota
6,Delaware
7,Illinois
8,Pennsylvania
9,Washington
10,Utah
11,Wisconsin
12,New Mexico
13,Iowa
14,Vermont
15,South Carolina
16,Wyoming
17,Missouri
18,Mississippi
19,Montana
20,New York
21,Oklahoma
22,Kentucky
23,Idaho
24,Arkansas
25,Colorado
26,Maryland
27,Massachusetts
28,Nevada
29,North Carolina
30,Kansas
31,New Hampshire
32,Nebraska
33,Rhode Island
34,Connecticut
35,Michigan
36,Indiana
37,Louisiana
38,Minnesota
39,Tennessee
